Srno,TranslatedRecipeName,Cuisine,Course,Diet,Average_Resell_Price
1963,Himachali Bhey Recipe - Stir Fried Lotus Stem,Himachal,Side Dish,Vegetarian,20
1964,Chalimidi Recipe,South Indian Recipes,Dessert,Vegetarian,50
1966, Cabbage Bhurji (Recipe In Hindi),North Indian Recipes,North Indian Breakfast,Eggetarian,40
1967, Achari Baingan Bharta (Recipe In Hindi),North Indian Recipes,Lunch,Vegetarian,70
1968,Tomato Onion Chutney Recipe With Coconut And Mint,South Indian Recipes,Side Dish,Vegetarian,20
1969,How to Cook Lentils (Dals/Pulses) in a Pressure Cooker,South Indian Recipes,Side Dish,Vegetarian,20
1971,Tangy Lemon Pickle Recipe With Kalonji & Rock Salt,Indian,Side Dish,Vegetarian,20
1972, Dal Kabila Recipe,North Indian Recipes,Lunch,Diabetic Friendly,80
1974,Avocado Salsa Open Multigrain Toast With Fried Egg Recipe,Continental,World Breakfast,Eggetarian,46
1975,Masala Oats And Potato Sandwich Recipe,Continental,World Breakfast,Vegetarian,40
1979,Basbousa Recipe - Middle Eastern Semolina Cake,Middle Eastern,Snack,Vegetarian,30
1980,Spicy Egg Biryani Recipe with Figaro Olive Oil,Indian,Lunch,Eggetarian,80
1981,Whole Wheat Lemon & Cranberry Muffins Recipe,Continental,Dessert,Vegetarian,50
1982,French Toast Jam Roll Ups Recipe,Continental,World Breakfast,Vegetarian,40
1983,Roasted Potatoes With Za'atar Recipe,Mediterranean,Snack,Vegetarian,30
1984, Kadhai Paneer Recipe,Punjabi,Dinner,High Protein Vegetarian,165
1985,One Pot Tomato Rice Recipe Using Preethi Electric Pressure Cooker - Thakkali Sadam,South Indian Recipes,Lunch,Vegetarian,70
1986, Baked Bitter Gourd Bhajji Recipe,Indian,Snack,Diabetic Friendly,34
1987,Quick & Spicy Mutton Curry Recipe,Indian,Dinner,Non Vegeterian,187
1988,Aloo Beans Sabzi Recipe - Potato & Beans Stir Fry,Gujarati Recipes?,Lunch,Vegetarian,70
1989,Oven Crisped Burritos with Shredded Chicken Recipe,Fusion,Appetizer,Non Vegeterian,62
1990,Bajri Methi Na Vada Recipe - Pearl Millet Flour Fritters,Maharashtrian Recipes,Snack,Vegetarian,30
1991,Lauki Paratha Recipe - Bottle Gourd Flatbread,North Indian Recipes,Indian Breakfast,Diabetic Friendly,28
1992,Hunase Gojju Recipe,Karnataka,Lunch,Vegetarian,70
1993,Herbed Potato Salad Recipe,Continental,Appetizer,Vegetarian,50
1994, No Onion No Garlic Aloo Makhana Sabzi (Recipe In Hindi),Indian,Lunch,Vegetarian,70
1997, Carrot Capsicum Poriyal Recipe,South Indian Recipes,Side Dish,No Onion No Garlic (Sattvic),20
1998,Kadai Mushroom Recipe,Indian,Dinner,Vegetarian,150
1999,Beetroot Carrot Raita Recipe,Indian,Side Dish,Vegetarian,20
2000,Crunchy Fish Tacos - Perfect Mexican Appetizer,Mexican,Appetizer,Non Vegeterian,62
2002,Masala Jowar Bhakri Recipe,Maharashtrian Recipes,Indian Breakfast,Gluten Free,30
2003,Green Moong Dal Sundal Recipe,South Indian Recipes,Side Dish,Vegetarian,20
2004,"Mexican Breakfast Tortilla, Fried Eggs & Black Beans With Salsa Recipe",Mexican,World Breakfast,Eggetarian,46
2005,Bengali Chirer Pulao Recipe - Bengali Style Vegetable Poha,Bengali Recipes,North Indian Breakfast,Vegetarian,35
2006,Pan Fried Chinese Chilli Chicken recipe,Chinese,Dinner,Non Vegeterian,187
2008,Instant Oats Rava Idli Recipe,South Indian Recipes,South Indian Breakfast,Diabetic Friendly,46
2009,Maharashtrian Style Farasbi Chi Bhaji Recipe - Beans Cooked With Peanuts,Maharashtrian Recipes,Lunch,Vegetarian,70
2010,Creamy & Delicious Egg Mayo Sandwich Recipe - Kids Recipes Made With Del Monte,Continental,World Breakfast,High Protein Non Vegetarian,54
2011, Watermelon And Corn Salad Recipe,Continental,Appetizer,Vegetarian,50
2012,Pumpkin Creme Brulee Recipe,French,Dessert,Eggetarian,57
2013,Vegan Curried Rice with Chickpeas Recipe,Asian,Lunch,Vegetarian,70
2014,Vegan Godhi Payasa Recipe  - Lapsi Kheer,South Indian Recipes,Dessert,Vegetarian,50
2015, Vegan Curried Rice With Chickpeas Recipe,Asian,Lunch,Vegetarian,70
2016,Maize Daliya Khichri Recipe,Indian,Dinner,Vegetarian,150
2017,Spiced Beetroot Buttermilk Recipe,South Indian Recipes,Lunch,Vegetarian,70
2018,North East Khapse Recipe (Deep Fried Biscuits From Arunachal),Indian,Snack,Vegetarian,30
2019,Pea And Spring Onion Soup Recipe,Continental,Appetizer,Vegetarian,50
2020,Baked & Crisp Whole Wheat Methi Puri Recipe (Healthy Snack),Indian,Snack,Non Vegeterian,37
2021,Pumpkin Chapati Recipe,Indian,Lunch,Vegetarian,70
2023,Vepilakatti - Lime Leaves Pickle Recipe,South Indian Recipes,Side Dish,Vegetarian,20
2024,Khaman Dhokla Poha Recipe,North Indian Recipes,North Indian Breakfast,Vegetarian,35
2025,Singhare Atte Ka Halwa/Sheera Recipe (Water Chestnut Flour Halwa Recipe),North Indian Recipes,Dessert,Vegetarian,50
2026,Gajar Vadi Recipe - Maharashtrian Style Steamed Carrot Dumplings,Maharashtrian Recipes,Side Dish,Vegetarian,20
2027,Soya Chunks Pepper Curry Recipe,Indian,Lunch,High Protein Vegetarian,77
2028,Mexican Inspired Vegetarian Oven Roasted Stuffed Pepper Recipe,Mexican,Appetizer,Vegetarian,50
2029, Phulka (Recipe In Hindi),North Indian Recipes,Main Course,Vegetarian,100
2030,Pan Fried Brussel Sprouts Recipe,Indian,Side Dish,Vegetarian,20
2032,Ravioli Recipe With Broccoli Filling In White And Red Sauce,Italian Recipes,Lunch,Vegetarian,70
2035, Kerala Style Jack Fruit Seeds Stir Fry (Recipe In Hindi),Kerala Recipes,Lunch,Vegetarian,70
2036,Doi Ilish Recipe - Bengali Style Hilsa In Yogurt Gravy Recipe,Bengali Recipes,Lunch,High Protein Non Vegetarian,94
2037, Vegetable Clear Soup Recipe,Continental,Appetizer,Vegetarian,50
2038,The Homemade Hard Taco Shells Recipe,Mexican,Main Course,Vegetarian,100
2039,Paneer Stuffed Ragi Paratha Recipe - High Protein Breakfast,North Indian Recipes,North Indian Breakfast,Diabetic Friendly,40
2040, Tangy Corn Tamatar Bharta (Recipe In Hindi),North Indian Recipes,Dinner,Vegetarian,150
2041,Sri Lankan Beans With Coconut Recipe,Sri Lankan,Side Dish,Vegetarian,20
2043,Buttered Peas Puree Recipe For Babies Above 6 months,Indian,Lunch,Vegetarian,70
2045, Vegetable Dal Pakora Recipe,North Indian Recipes,Snack,High Protein Vegetarian,33
2046, Gajar Ka Halwa (Recipe In Hindi),North Indian Recipes,Dessert,Vegetarian,50
2047,Healthy Brown Rice Salad Recipe,Continental,Appetizer,Vegetarian,50
2049,Bhaji Miligai And Baby Potato Fry Recipe,Indian,Appetizer,Vegetarian,50
2050, Baingan Masala (Recipe In Hindi),Indian,Side Dish,Vegetarian,20
2051,Quinoa-Flaxseed Banana Muffins Recipe,Continental,World Breakfast,Eggetarian,46
2052,Sprouted Ragi & Rajma Cutlets Recipe,North Indian Recipes,Appetizer,High Protein Vegetarian,55
2053,Creamy Thai Sweet Potato Curry Recipe,Asian,Dinner,Vegetarian,150
2054,Carrot Capsicum Poriyal Recipe,South Indian Recipes,Side Dish,No Onion No Garlic (Sattvic),20
2055,Paneer in White Gravy Recipe - No Onion No Garlic Recipe,North Indian Recipes,Lunch,Vegetarian,70
2056,Thor Chal Recipe - Banana Stem Pulao Recipe,Bengali Recipes,Lunch,Vegetarian,70
2058,Chicken Galouti Kebab Recipe,Lucknowi,Appetizer,Non Vegeterian,62
2059,Chatpata Aloo Chaat Taco Recipe With Sour Cream & Salad,Mexican,Dinner,Vegetarian,150
2060,Eggless Sugarless Oats And Nuts Cookie Recipe,Continental,Snack,Vegetarian,30
2061,Badam Halwa Recipe - Delicious Almond Halwa With Khoya,Indian,Dessert,Vegetarian,50
2062, Sweet Corn Poriyal (Recipe In Hindi),Tamil Nadu,Lunch,Vegetarian,70
2063, Palak Dhania Dosa (Recipe In Hindi),South Indian Recipes,South Indian Breakfast,High Protein Vegetarian,44
2064,Stuffed Karela With Aloo Recipe,Indian,Lunch,Vegetarian,70
2065,Indo Chinese Chicken Hakka Noodles Recipe,Indo Chinese,Dinner,Non Vegeterian,187
2070,Lau Chingri Recipe (Bottle Gourd And Shrimp Curry),Bengali Recipes,Lunch,Non Vegeterian,87
2071, Paneer Tikka Pulao Recipe,North Indian Recipes,Lunch,Vegetarian,70
2072,Thai Jasmine Sticky Rice Recipe,North Indian Recipes,Lunch,Vegetarian,70
2073,Raw Banana & Ajwain Paratha Recipe,North Indian Recipes,North Indian Breakfast,Diabetic Friendly,40
2077,Strawberry Coconut Trifle Pudding Recipe,Continental,Dessert,Vegetarian,50
2078,Spicy Soya Keema Masala Recipe,North Indian Recipes,Dinner,High Protein Vegetarian,165
2079,Greek Style Green Beans Stir Fry Recipe,Greek,One Pot Dish,Vegetarian,55
2080,Kothamalli Karuveppilai Sadam Recipe - Coriander And Curry Leaves Rice,Tamil Nadu,Lunch,Vegetarian,70
2081, Egg Sholay Kebab Recipe,South Indian Recipes,Appetizer,Eggetarian,57
2082,Methi Chaman Recipe -Paneer In Dark Leafy Greens Based Gravy,North Indian Recipes,Side Dish,Vegetarian,20
2083,Quick Microwave Chocolate Pudding Recipe,Continental,Dessert,Vegetarian,50
2085,Healthy Ragi Energy Balls with Strawberry Recipe,Continental,Snack,Vegetarian,30
2088,Lemon Rosemary Sauce Baked Penne Pasta Recipe,Italian Recipes,Main Course,Vegetarian,100
2090,No Churn Strawberry Ice Cream Recipe,Continental,Dessert,Vegetarian,50
2091,Spaghetti With Broccoli And Smoked Almonds Recipe,Italian Recipes,Dinner,Vegetarian,150
2092,Pizza With Soy And Corn Recipe,Italian Recipes,Dinner,High Protein Vegetarian,165
2093,Anardana Chutney Recipe - Pomegranate Chutney (Recipe),Indian,Side Dish,Vegetarian,20
2094,Healthy Jamun Cooler Recipe (Black Plum Juice),Indian,Snack,Vegetarian,30
2096,Senai Kizhangu Gotsu Recipe - Spicy & Tangy Yam Curry Recipe,Tamil Nadu,Lunch,Vegetarian,70
2097,Classic Greek salad Recipe,Greek,Appetizer,Vegetarian,50
2098,Classic Pavakkai Stir Fry Recipe (Bitter Gourd Fry),Greek,Appetizer,Vegetarian,50
2099,Maharashtrian Misal Pav Recipe,Maharashtrian Recipes,Snack,Vegetarian,30
2100,Mughlai Fish Curry Recipe,Mughlai,Lunch,High Protein Vegetarian,77
2101,Karuveppilai Chutney Podi Recipe - Curry Leaves Chutney Podi,South Indian Recipes,Side Dish,Vegetarian,20
2102,Refried Beans and Mushroom Tostada Recipe,Mexican,Snack,Vegetarian,30
2103,Cranberry Cookie Recipe,Continental,Snack,Vegetarian,30
2104,Malabar Style Dates Coriander Chutney Recipe,Malabar,Side Dish,Vegetarian,20
2105,Masaledar Moongphali Til Wale Aloo Recipe,North Indian Recipes,Side Dish,Vegetarian,20
2106,Mangalorean Manoli Curry Recipe - Indian Gherkins Curry,Mangalorean,Side Dish,Diabetic Friendly,23
2107,Basil Tea Recipe,Indian,Snack,Vegetarian,30
2108,Mysore Chutney Recipe - Chana Dal Chutney,Karnataka,Side Dish,Vegetarian,20
2109,Mangai Inji Pickle Recipe- Instant Mango Ginger Pickle,South Indian Recipes,Side Dish,Vegetarian,20
2110,Bengali Style Mixed Vegetable Sweet Pilaf Recipe,Bengali Recipes,Main Course,Vegetarian,100
2111,Mulakushyam Recipe - A Mixed Vegetable Lentil Curry,Kerala Recipes,Side Dish,High Protein Vegetarian,22
2112,"Sweet Potato, Celery & Peanut Soup Recipe",Continental,Dinner,Gluten Free,180
2113,Caprese Empanada Recipe With Tomato Basil And Mozzarella,Italian Recipes,Snack,Vegetarian,30
2115,Lapsi Recipe  - Sweetened Gujarati Broken Wheat,Gujarati Recipes?,Dessert,Vegetarian,50
2116,Asian Watermelon Salad Recipe,Asian,Side Dish,Vegetarian,20
2117,Karnataka Style Obbattu Saaru Recipe - Sweet & Spicy Rasam Recipe,Karnataka,Lunch,Vegetarian,70
2118, Apple Halwa (Recipe In Hindi),Indian,Dessert,Vegetarian,50
2119,Giant Chocolate Chunk Cookie Recipe with Walnuts,Continental,Snack,Vegetarian,30
2120,Brinjal Methi Bharta Recipe with Pomegranate - Baingan Methi Ka Bharta Recipe,Punjabi,Lunch,Vegetarian,70
2121,Mushrooms And Zucchini Puffs Recipe,Continental,Snack,Eggetarian,34
2122,Sri Lankan Chilli Potatoes Recipe,Sri Lankan,Lunch,Vegan,80
2123,Radhaballabhi Recipe (Bengali Stuffed Poori With Spiced Urad Dal),Bengali Recipes,North Indian Breakfast,Vegetarian,35
2125,Spinach Ricotta Balls in Garlic Tomato Basil Sauce Recipe,Continental,Main Course,Vegetarian,100
2127,Methi & Pudina Aloo Sabzi Recipe,North Indian Recipes,Lunch,Vegetarian,70
2128,Fruit Tart Recipe - Vegan,Continental,World Breakfast,Vegan,46
2130,Parsi Style Baingan Capsicum Ka Salan Recipe,Parsi Recipes,Lunch,Vegetarian,70
2132,Savoury Crepes with Za'atar Spiced Chicken Recipe,Mediterranean,Dinner,High Protein Non Vegetarian,202
2133,Recheado Chicken Naan Wraps Recipe,Fusion,Snack,High Protein Vegetarian,33
2135,Vegetable Tortilla Pizza Recipe,Fusion,Appetizer,Vegetarian,50
2136,Roasted Onion Gosht Recipe - Mutton Curry with Roasted Onion & Spices,North Indian Recipes,Main Course,Non Vegeterian,125
2137,Dherosh Chingri Jhol Recipe (Bengali Style Prawn Curry With Ladies Finger),Bengali Recipes,Side Dish,Non Vegeterian,25
2138,Aloo Bread Pakora Recipe,North Indian Recipes,Snack,Vegetarian,30
2139,Spicy Mushroom Puffs Recipe (Empanadas stuffed with Mushroom Recipe),Indian,Snack,Vegetarian,30
2140,Instant Chilli Pickle Recipe,Indian,Appetizer,Vegetarian,50
2141,Bhakri Chaat Recipe With Green Moong Sprouts And Aloo,Indian,Snack,Vegetarian,30
2142,Rawalpindi Style Chole Recipe,Punjabi,Dinner,High Protein Vegetarian,165
2143,Achari Pumpkin Vegetable Recipe,North Indian Recipes,Lunch,Vegetarian,70
2144, One Pot Butter Chicken Khichdi Recipe,North Indian Recipes,One Pot Dish,Non Vegeterian,68
2145,Veg Makhanwala Recipe - North Indian Mixed Vegetables Gravy,North Indian Recipes,Lunch,Vegetarian,70
2146,How to make Egg Free Mayonnaise Recipe,Continental,Side Dish,Vegetarian,20
2147,Sindhi Style Besan Tikki Ki Sabzi Recipe,Sindhi,Main Course,Vegetarian,100
2149,"Turmeric, Ginger And Chilli Pickle Recipe",South Indian Recipes,Side Dish,Vegetarian,20
2150,Spicy Matar Masala Recipe,Indian,Dinner,Vegetarian,150
2151,Andhra Style Davva Aava koora Recipe (Sweet and Spicy Banana Stem Peanut Curry Recipe),Andhra,Main Course,Vegetarian,100
2152,"Broccoli, Carrot And Capsicum Sabzi Recipe",South Indian Recipes,Side Dish,Vegetarian,20
2153,"Mushroom, Spinach & Herbs Frittata with Egg White Recipe",Continental,World Breakfast,High Protein Non Vegetarian,54
2154,Spinach Hummus Recipe,Middle Eastern,Appetizer,Vegetarian,50
2155,Pinto Bean Salsa Salad Recipe,Mexican,Appetizer,Vegetarian,50
2156,Chicken Momos Recipe -Delicious Steamed Chicken Dumplings,North East India Recipes,Snack,High Protein Non Vegetarian,40
2157,Broccoli Egg Bhurji Recipe,Indian,World Breakfast,Eggetarian,46
2159,Avocado And Almond Salad Recipe With Feta Cheese,Continental,Snack,High Protein Vegetarian,33
2160,Masala Akki Roti With Spinach Recipe - sarvapindi,Andhra,South Indian Breakfast,Gluten Free,48
2162,Spinach Khandvi Recipe - Savory Gram Flour Pinwheels With Spinach,Gujarati Recipes?,Lunch,Vegetarian,70
2163,Spiked Onion Casserole Recipe - Onion Casserole Recipe,Indian,Main Course,Vegetarian,100
2164,Rajasthani Kadhi Recipe - Rajasthani Kadhi (Recipe In Hindi),Rajasthani,Lunch,Vegetarian,70
2165,Kashmiri Methi T Golemach Recipe-Minced Chicken Balls With Fenugreek Leaves,Kashmiri,Lunch,High Protein Non Vegetarian,94
2167,Carrot Cake Pancakes Recipe,Continental,World Breakfast,Vegetarian,40
2168,Oats Cheela Recipe Stuffed With Creamy Palak Paneer,Indian,Indian Breakfast,Vegetarian,25
2169,Eggless Lemon Pound Cake Recipe,Continental,Dessert,Vegetarian,50
2170,Vegan Mango Lassi Recipe,Indian,Appetizer,Vegan,57
2171,Thandai Ladoo (Recipe In Hindi) Recipe,Indian,Dessert,Vegetarian,50
2172,Puli Inji Recipe - Tamarind and Ginger Chutney,South Indian Recipes,Side Dish,Vegetarian,20
2173,Tandoori Mayonnaise Chicken Cigar Recipe,Continental,Appetizer,Non Vegeterian,62
2174,Russian Radish Cucumber Salad Recipe,Continental,Side Dish,Eggetarian,23
2175,Egg Pakora Recipe - Egg Fritters,Indian,Snack,Eggetarian,34
2176, Aloo Matar Pudina Tikki Recipe,North Indian Recipes,Appetizer,Vegetarian,50
2177,Cabbage Besan Fry Recipe,Indian,Dinner,Vegetarian,150
2178,Gavar Ki Sabzi (Recipe),Rajasthani,Lunch,Vegetarian,70
2179,Soya Keema Aloo Paratha Recipe,North Indian Recipes,Indian Breakfast,High Protein Vegetarian,27
2182,Curd Rice With Carrots Recipe,Indian,Lunch,Vegetarian,70
2183,No-Bake Strawberry Cream Cheese Dessert Recipe,Continental,Dessert,Vegetarian,50
2184,Eggless Mango Muffins Recipe,Continental,Dessert,Vegetarian,50
2186,Hyderabadi Khatti Dal Recipe (Hyderabadi Tangy Lentil Curry),Hyderabadi,Lunch,High Protein Vegetarian,77
2187,North Arcot Special Thavalai Dosai Recipe,South Indian Recipes,South Indian Breakfast,Vegetarian,40
2188,Oats Sugar Pongal Recipe,South Indian Recipes,Dessert,Vegetarian,50
2189,Chatpata Lobia Chaat Recipe - Healthy Black Eyed Bean Snack,North Indian Recipes,Snack,High Protein Vegetarian,33
2190,Chettinad Style Pepper Cabbage Recipe - Cauliflower Pepper Fry Recipe,Chettinad,Lunch,Vegetarian,70
2191,Indori Poha Recipe,North Indian Recipes,North Indian Breakfast,Vegetarian,35
2192,Chocolate Chip Cookies With Coconut Recipe,Continental,Snack,Vegetarian,30
2193,Singhara Ato Chill Recipe (No Onion No Garlic Navratri Fasting / Fasting Recipe),North Indian Recipes,Lunch,Vegetarian,70
2195,Spiced Ghee Rice Recipe | Neychoru,South Indian Recipes,Lunch,Gluten Free,84
2196,Maharashtrian Tandalachi Ukad Recipe - Rice Flour And Buttermilk Porridge,Maharashtrian Recipes,North Indian Breakfast,Vegetarian,35
2197,Parmesan Corn Chili Fries Recipe,Continental,Snack,Vegetarian,30
2198, Banana Stem Chickpea Curry,Coastal Karnataka,Lunch,Vegetarian,70
2199,Dal Fara Recipe (Indian Stuffed Lentil Dumplings),South Indian Recipes,Snack,High Protein Vegetarian,33
2200,Chinese Fried Rice Recipe With Chicken And Shredded Lettuce,Chinese,Dinner,Non Vegeterian,187
2201,Aval Payasam Recipe - Sweet Flattened Rice Payasam,Tamil Nadu,Dessert,Vegetarian,50
2202,Spicy Tomato Rice - Tomato Pulihora Recipe,South Indian Recipes,Main Course,Vegetarian,100
2203,Punjabi Style Egg Curry Recipe,Punjabi,Lunch,Eggetarian,80
2204,Bhopali Style Gosht Ka Pulao Recipe,North Indian Recipes,Lunch,Non Vegeterian,87
2205, Chilled Spinach And Cucumber Soup Recipe,Continental,Dinner,Vegetarian,150
2206,Bengali Holud Mishti Pulao Recipe - Saffron Flavored Rice With Nuts,Bengali Recipes,Lunch,Vegetarian,70
2207,Chotti Aloor Dum Recipe - Baby Potatoes In Tomato Gravy,North Indian Recipes,Lunch,Vegetarian,70
2208,Mango Rice Noodle Salad With Cucumber & Carrot Recipe,Vietnamese,Side Dish,Vegetarian,20
2209,Mooli Bhurji recipe,North Indian Recipes,Dinner,Vegetarian,150
2210,Gilka Bhajji Recipe-Silk Squash Fritters,Maharashtrian Recipes,Snack,Vegetarian,30
2212,French Toast Recipe Flavored with Orange,French,World Breakfast,Eggetarian,46
2213,Bisi Bele Bath Recipe - A Spicy Mixed Vegetable Sambar Rice,South Indian Recipes,Dinner,Vegetarian,150
2214,Mushroom Methi Brown Rice Recipe,Indian,Lunch,Vegetarian,70
2216,Godhi Chutney Podi Recipe (Wheat Germ South Indian Spice Powder),South Indian Recipes,Side Dish,Vegetarian,20
2218,Suji Manda Pitha/Sweetened Coconut Stuffed Semolina Dumplings Recipe,Oriya Recipes,Dessert,Vegetarian,50
2219,Spinach Enchilada Recipe,Mexican,Dinner,Vegetarian,150
2220,Healthy General Tso's Chicken Recipe,Chinese,Appetizer,Non Vegeterian,62
2221,Crostini With Peppers & Cheese Recipe,Italian Recipes,Dinner,Vegetarian,150
2222,Karnataka Style Hurali Kalu Saaru Recipe,Karnataka,Lunch,Diabetic Friendly,80
2223,Mushroom and Prawn Malai Curry Recipe,Bengali Recipes,Lunch,Non Vegeterian,87
2224, Sweet and Spicy Raw Mango Chutney,Indian,Side Dish,Vegetarian,20
2225,Carrot Curd Rice Recipe - Curd Rice With Carrots Recipe,Indian,Lunch,Vegetarian,70
2226,Beerakaya Tomato Koora Recipe (Andhra Style Ridge Gourd Curry),Andhra,Dinner,Vegetarian,150
2228,Sholeh Zard Recipe -  Persian Saffron Rice Pudding,Middle Eastern,Dessert,Gluten Free,60
2229,Tamarind Chilli Potato Recipe,Indian,Side Dish,Vegetarian,20
2230,Cheese and Bacon Pinwheels Recipe,Continental,Appetizer,Non Vegeterian,62
2231,Vegetable Pasta Soup Recipe - Vegetable Pasta Soup Recipe,Italian Recipes,Dinner,Vegetarian,150
2233,Roasted Tomato Basil Pasta & Pizza Sauce Recipe,Italian Recipes,Vegetarian,Vegetarian,45
2234,Paal Payasam Recipe - Rice Kheer / Pudding,Indian,Dessert,Vegetarian,50
2235,Spicy Indian Style Onion Rings Recipe,Indian,Snack,Vegetarian,30
2236,Penne Arrabbiata Pasta Recipe,Italian Recipes,Dinner,Vegetarian,150
2238,Amritsari Gobi Matar Recipe (Punjabi Style Creamy Cauliflower and Peas Curry),North Indian Recipes,Dinner,Vegetarian,150
2240,Green Peas Sandwich Recipe,Continental,World Breakfast,Vegetarian,40
2241,Congress Buns Recipe,South Karnataka,Appetizer,Vegetarian,50
2242,Lemon 7 Up Cake Recipe,Indian,Dessert,Vegetarian,50
2243,Methi Moong Dal Recipe - Healthy Diabetic Friendly Recipe,North Indian Recipes,Lunch,Vegetarian,70
2244,Sprouted Moong And Onion Pakora - Sprouted Moong and Onion Pakoras Recipe,Indian,Snack,Vegetarian,30
2245,Beetroot Juice Recipe With Cucumber & Pineapple,Continental,World Breakfast,Vegetarian,40
2247,Andhra Vankaya Fry Recipe With Peanuts - Brinjal Peanut Sabzi,Andhra,Lunch,Vegetarian,70
2248,Banana Apple Porridge Recipe (Banana Apple Porridge),Indian,World Breakfast,Vegetarian,40
2249,One Pot Masala Vegetable Rice Recipe,Indian,Lunch,Vegetarian,70
2250,Beans Vepudu Recipe (Andhra Style Beans Cooked With Spicy Sesame Spicy Mix),Andhra,Side Dish,Vegetarian,20
2251,Lentil Spinach Recipe - Red Amarnath With Tour Dal,Tamil Nadu,Side Dish,Vegetarian,20
2252,Rose Greek Yogurt Dessert Recipe With Pista & Coconut,Fusion,Dessert,Vegetarian,50
2253,Chicken Tariwala Recipe - Punjabi Murgh Tariwala Recipe,Punjabi,Main Course,High Protein Non Vegetarian,135
2254,Hyderabadi Laziz Lamb Handi Recipe,Punjabi,Dinner,Non Vegeterian,187
2255,Green Beans Egg Scramble Recipe - Green Beans Egg Scramble Recipe,North Indian Recipes,North Indian Breakfast,No Onion No Garlic (Sattvic),35
2256,Raw Mango Puliyogare Gojju Recipe With Peanuts,South Indian Recipes,Lunch,Vegetarian,70
2257,Broccoli Chocolate Muffins Recipe,Continental,Dessert,Eggetarian,57
2258,Stuffed Bharwa Tinda Recipe (Stuffed Apple Gourd),Punjabi,Lunch,Vegetarian,70
2259,Tadkewali Masoor Dal Khichdi Recipe With Garlic & Onions,North Indian Recipes,Main Course,Vegetarian,100
2260,Maharashtrian Kulith Shengole Recipe - Spicy Horse Gram Flour Dumplings,Maharashtrian Recipes,Lunch,Vegetarian,70
2261,Saffron Cream Milk Recipe,North Indian Recipes,Snack,Vegetarian,30
2262,Lentil Bread Buttermilk Recipe (Lentil Piles in Yogurt Surri),Tamil Nadu,Lunch,High Protein Vegetarian,77
2263,Chocolate And Semolina Halwa Recipe,South Indian Recipes,Dessert,Vegetarian,50
2264,Eggless Whole Wheat Banana Bread Recipe-Vegan Options,Continental,Dessert,Vegetarian,50
2266,Pan Grilled Balsamic Chicken Breast And Mushrooms Recipe,Continental,Main Course,High Protein Non Vegetarian,135
2267,Himachal Pahari Style Teliah Mah Recipe (Brown Horse Gram Curry),Himachal,Lunch,Vegetarian,70
2268,Arbi Ajwain Ki Sabzi Recipe (Roasted Colocasia Stir Fry With Ajwain),Rajasthani,Lunch,Vegetarian,70
2269,Barnyard Millet Mushroom Biryani Recipe,Indian,Lunch,Vegetarian,70
2270,High-Protein Peanut Chutney Recipe-Indian Style Peanut Chutney Without Coconut,Indian,Side Dish,High Protein Vegetarian,22
2271,Delicious Methi Chicken Curry - Murgh Methi Curry Recipe,North Indian Recipes,Dinner,Non Vegeterian,187
2272,Mexican Fiesta Soup With Roasted Tomatillo Pesto Recipe,Mexican,Dinner,Vegetarian,150
2274,North Indian Sooji Halwa Recipe,North Indian Recipes,Dessert,Vegetarian,50
2275,Mustard Green Chilli Pickle Recipe,Indian,Side Dish,Vegetarian,20
2277,Mint & Coriander Chilli Potato Salad Recipe - No Mayo Salad,Continental,Appetizer,Vegetarian,50
2278,Orange Peel Kuzhambu Recipe - Orange Peel Tamarind Based Curry,South Indian Recipes,Main Course,Vegetarian,100
2279,Mixed Vegetable Rice Cutlet Recipe - Spicy Mixed Vegetables Rice Cutlet Recipe,Indian,Snack,Vegetarian,30
2280,Aloo Took Recipe - Sindhi Style Double Baked Crispy Potatoes,Sindhi,Side Dish,Vegetarian,20
2281,Poliyodharai / Puliyogare Recipe (using Millets),South Indian Recipes,Lunch,Vegetarian,70
2282,Andhra Steel Kandi Attu Recipe (Tour Dal Dosa Recipe),Andhra,South Indian Breakfast,Vegetarian,40
2284,Quinoa Chocolate Carrot Cake Recipe,Continental,Dessert,Eggetarian,57
2285,Easy Homemade Sugar Free Dates Flavored Yogurt Recipe,Indian,Dessert,Vegetarian,50
2286,Kancha Peper Kofta Curry Recipe-Bengali Green Papaya Kofta Sabzi,Bengali Recipes,Side Dish,Vegetarian,20
2287,Crepes Stuffed with Nutella and Seasonal Fruits Recipe,Continental,World Breakfast,Vegetarian,40
2288,Easy Homemade Queso Dip Recipe,Continental,Side Dish,Vegetarian,20
2289,Motichoor Modak Recipe - Motichoor Modak (Recipe In Hindi),Indian,Dessert,Vegetarian,50
2290,Ragi & Oats Rava Idli Recipe-Finger Millet and Oats Idli,South Indian Recipes,South Indian Breakfast,Diabetic Friendly,46
2291,Scrambled Tofu Noodles Recipe,Asian,Dinner,High Protein Vegetarian,165
2292,Methi Soya Chunks Vegetable Recipe - Methi & Soya Chunks Dry Sabzi Recipe,North Indian Recipes,Side Dish,Vegetarian,20
2293,Avocado Mint Soup Recipe,Continental,Appetizer,Vegetarian,50
2294,Roasted Beet Salad Recipe With Pearl Barley & Spinach,Continental,Appetizer,Diabetic Friendly,57
2295,Chinese Egg Drop Soup Recipe (With Vegetarian Option),Chinese,Appetizer,Eggetarian,57
